goblog;bodoh
nga;tidak
dimanaja;dimana saja
dinegi;dinego
namnya;namanya
plh;pilih
kash;kasih
kyknya;sepertinya
cancel;batal
mrka;mereka
pera;para
matane;matanya
picek;buta
kupinge;kupingnya
budek;tuli
kls;kelas
judol;judi_online
dipake;dipakai
mbako;sembako
sehjtra;sejahtera
partisfasi;partisipasi
sblum;sebelum
sperti;seperti
penyelundupn;penyelundupan
secra;secara
money;uang
loundry;cuci
ko;kamu
bandos;bansos
rasai;rasakan
enaak;enak
ditrnkan;diturunkan
jzngan;jangan
bebsni;bebani
petsen;persen
gag;tidak
tri;sri_mulyani
wowo;prabowo
dolim;dzolim
yao;ya
inget;ingat
ngk;tidak
bkn;bukan 
lanyutkan;lanjutkan
dholim;dzolim
bsr;besar
kenaikn²;kenaikan
smpaikn;sampaikan
brang²;barang
hrga;harga
bhn;bahan
jangn;jangan
newahan;mewah
katany;katanya
mubgkin;mungkin
m²;meyer
namany;namanya
eropah;eropa
singapore;singapura
dimiskiskan;dimiskinkan
pmaybe;mungkin
ndak;tidak
jls;jelas
daoat;dapat
yaaa;ya
sdng;sedang
penerimaannegara;penerimaan negara
teruss;terus
cima;hanya
natik;narik
cepet;cepat
ttd;tandatangan
bbrp;beberapa
browo;prabowo
jnjji;janji tidak akan
sejahtrkan;sejahterakan
misi;permisi
nph;kenapa
ditmbh;ditambah
dak;tidak
usa;usah
yusaksn;menyusahkan
unt;untuk
mepercepat;mempercepat
pejbt;pejabat
males;malas
blm;belum
menjawad;menjawab
kta;kita
knpa;kenapa
mngnai;mengenai
sedngkan;sedangkan
pendertaan;penderitaan
makasih;terimakasih 
tekorrrr;tekor
koknga;kok tidak
privat;private
ksh;kasih
hrs;harus
ush;usah
frank;jebak
trilyunan;triliunan
simple;gampang
dinekanakan;dikenakan
kacaooo;kacau
aku;saya
alfaindo;alfamart indomaret
eneg;muak
masyarajat;masyarakat
listri;listrik
brrti;berarti
anda;kamu
orgnya;orangnya
maupun;mau pun
ni;ini
nih;ini
sebenernya;sebenarnya
cobak;coba
gx;tidak
naikan;naikkan
yaah;ya
ia;iya
ig;instagram
pasar²;pasar
klw;kalau
mengleola;mengelola
keungan;keuangan
ank;anak
gwa;saya
gamau;tidak_mau
kalaudihitung;kalau dihitung
bodo;bodoh
prbw;prabowo
enggak;tidak
santay;santai
tolakkkkkk;tolak
kismin;miskin
naikn;naikkan
smkn;semakin
kisminn;miskin
mlh;malah
survive;bertahan
pjabat;pejabat
ciba;coba
itung;hitung
korp;korup
brpa;berapa
nisa;bisa
gk;tidak
blajarlah;belajarlah
bukn;bukan 
trusss;terus
ngk;tidak
jauhh;jauh
skli;sekali
ngra;negara
sgt;sangat
aer;air
mkn;makan
hbs;habis
ditayaangkan;ditayangkan
tidaak;tidak
smkin;semakin
besar²an;besar
smakin;semakin
gol;golongan
jngn;jangan
anek;aneh
gimanapun;bagaimana pun
kren;keren
interner;internet
kaga;tidak
gw;saya
bandrol;banderol
kwalitasnya;kualitasnya
miss;salah
seeemuuuuaaaa;semua
hrsnya;harusnya
mmng;memang
mw;mau
wiwi;jokowi
dipajekin;dipajakin
jlaskan;jelaskan
hnya;hanya
kta;kata
semestinta;semestinya
gamasalah;tidak masalah
aq;saya
koq;kok
kgk;tidak
mlahan;malahan
aqnya ;saya
jagoanq;jagoanku
dh;sudah
legowo ;ikhlas
bansosss;bansos
